dest_path	action	union_path	union_blob	public_blob	layer	export_blob	reason
.gitattributes	ADD	.gitattributes	f8fd5b06f50996f45d53484f99a027452013839f		L1	f8fd5b06f50996f45d53484f99a027452013839f	Union path absent from public main. Proposed add of frozen union blob.
.npmignore	ADD	.npmignore	b3e77d4fb75998e4593ef5017c35779d829ff668		L1+L2	b3e77d4fb75998e4593ef5017c35779d829ff668	Union path absent from public main. Proposed add of frozen union blob.
CLA.md	ADD	CLA.md	8d055c006ea524c6afcbb3357e857a8974b74eaa		L1	8d055c006ea524c6afcbb3357e857a8974b74eaa	Union path absent from public main. Proposed add of frozen union blob.
NOAI	RIGHTS_HOLD	NOAI	6b903225f2fc6db1608f2de162c379eda83a9945		L1		Frozen union identity retained. No public dest write in this preview. Travels with AI-POLICY.md / ui/public/ai.txt as one rights packet. See docs/release/redline/OPEN_CORE_AI_SIGNALS.md. LICENSE/NOTICE unchanged.
core/k1/authority.ts	ADD	core/k1/authority.ts	ff212f07644c44975194747c90cdf0fa2c0b7382		L1+L2	ff212f07644c44975194747c90cdf0fa2c0b7382	Union path absent from public main. Proposed add of frozen union blob.
core/k1/types.ts	ADD	core/k1/types.ts	584943501c4eee1d8cddc71954680490e3322093		L1+L2	584943501c4eee1d8cddc71954680490e3322093	Union path absent from public main. Proposed add of frozen union blob.
docs/RELEASE.md	ADD	docs/RELEASE.md	a85ba5ea3fc64fd0c60200af5bee23074a123866		L1	a85ba5ea3fc64fd0c60200af5bee23074a123866	Union path absent from public main. Proposed add of frozen union blob.
docs/UCP_PROTOCOL.md	ADD	docs/UCP_PROTOCOL.md	950e44b3e190ca508e35b20f4fd13696f69d8f3e		L1	950e44b3e190ca508e35b20f4fd13696f69d8f3e	Union path absent from public main. Proposed add of frozen union blob.
docs/claude-v1-baseline.md	ADD	docs/claude-v1-baseline.md	57ab128966a3d9d7c92572c7436af0cd676ccd6d		L1	57ab128966a3d9d7c92572c7436af0cd676ccd6d	Union path absent from public main. Proposed add of frozen union blob.
docs/cursor-v1-baseline.md	ADD	docs/cursor-v1-baseline.md	25ec3fbf7f34bc1d23e107ceb0d15e9a69f21cb4		L1	25ec3fbf7f34bc1d23e107ceb0d15e9a69f21cb4	Union path absent from public main. Proposed add of frozen union blob.
docs/phase-11a-web-baseline.md	ADD	docs/phase-11a-web-baseline.md	91aabb6e09c351de39ca6e829bac54389d489a89		L1	91aabb6e09c351de39ca6e829bac54389d489a89	Union path absent from public main. Proposed add of frozen union blob.
docs/phase-11d-baseline.md	ADD	docs/phase-11d-baseline.md	e5759d832385785057855aa22a38d01ebfd34315		L1	e5759d832385785057855aa22a38d01ebfd34315	Union path absent from public main. Proposed add of frozen union blob.
docs/skills-v1-baseline.md	ADD	docs/skills-v1-baseline.md	bb7d85cd5b100d563e5d789999aa015369088e61		L1	bb7d85cd5b100d563e5d789999aa015369088e61	Union path absent from public main. Proposed add of frozen union blob.
package-lock.json	ADD	package-lock.json	e9a88f1273b4685fdad481773edb9223489ff13e		L1+L2	e9a88f1273b4685fdad481773edb9223489ff13e	Union path absent from public main. Proposed add of frozen union blob.
scripts/sanitize-package.mjs	ADD	scripts/sanitize-package.mjs	8b0b216db1e20ac667be1be3d724e4aa60c8fbf5		L2	8b0b216db1e20ac667be1be3d724e4aa60c8fbf5	Union path absent from public main. Proposed add of frozen union blob.
server-store.ts	ADD	server-store.ts	5e1ada94bd8099b8617ffbf93e8903e480c155bd		L1+L2	5e1ada94bd8099b8617ffbf93e8903e480c155bd	Union path absent from public main. Proposed add of frozen union blob.
server.ts	ADD	server.ts	64f1c218302a4b1f2d32c4566c2dd3556ee85975		L1+L2	64f1c218302a4b1f2d32c4566c2dd3556ee85975	Union path absent from public main. Proposed add of frozen union blob.
skills/filesystem-basic/SKILL.md	ADD	skills/filesystem-basic/SKILL.md	3b9486d3bb9b238fa86a935e8efb3954e457af07		L1	3b9486d3bb9b238fa86a935e8efb3954e457af07	Union path absent from public main. Proposed add of frozen union blob.
skills/recovery-basic/SKILL.md	ADD	skills/recovery-basic/SKILL.md	9159f9d3034179ac08ab312991d00bd74ea56dd1		L1	9159f9d3034179ac08ab312991d00bd74ea56dd1	Union path absent from public main. Proposed add of frozen union blob.
skills/workflow-draft-basic/SKILL.md	ADD	skills/workflow-draft-basic/SKILL.md	0d68b46245170e373779c9dff74bd5ba8abb02ae		L1	0d68b46245170e373779c9dff74bd5ba8abb02ae	Union path absent from public main. Proposed add of frozen union blob.
src/ai-seams/proposer-model-call.ts	ADD	src/ai-seams/proposer-model-call.ts	fc2f69794249236d947db71eed7d27c20dbdafe7		L1+L2	fc2f69794249236d947db71eed7d27c20dbdafe7	Union path absent from public main. Proposed add of frozen union blob.
src/blocked-explain/index.ts	ADD	src/blocked-explain/index.ts	89bb677f038d646daf9f5126b8950fca3540ae30		L1+L2	89bb677f038d646daf9f5126b8950fca3540ae30	Union path absent from public main. Proposed add of frozen union blob.
src/blocked-explain/proposer.ts	ADD	src/blocked-explain/proposer.ts	51d08fdd6242177a1028fab4a462c97d05cba3b8		L1+L2	51d08fdd6242177a1028fab4a462c97d05cba3b8	Union path absent from public main. Proposed add of frozen union blob.
src/blocked-explain/static-hul.ts	ADD	src/blocked-explain/static-hul.ts	6289b3c4013c9913b8d374c0bfa492233b3e5e95		L1+L2	6289b3c4013c9913b8d374c0bfa492233b3e5e95	Union path absent from public main. Proposed add of frozen union blob.
src/blocked-explain/types.ts	ADD	src/blocked-explain/types.ts	5b4124b24cab1d99ed65c7f2b4912a8a00a57d96		L1+L2	5b4124b24cab1d99ed65c7f2b4912a8a00a57d96	Union path absent from public main. Proposed add of frozen union blob.
src/blocked-revise/adapter.ts	ADD	src/blocked-revise/adapter.ts	93811948387f4332a21909307e9ea3805cb23c97		L1+L2	93811948387f4332a21909307e9ea3805cb23c97	Union path absent from public main. Proposed add of frozen union blob.
src/blocked-revise/build-revise-zest.ts	ADD	src/blocked-revise/build-revise-zest.ts	f9abe8756db05b13497dd863e1deed991a57313d		L1+L2	f9abe8756db05b13497dd863e1deed991a57313d	Union path absent from public main. Proposed add of frozen union blob.
src/blocked-revise/index.ts	ADD	src/blocked-revise/index.ts	cc1e2e0965fe66be70d22edd9ba5fb77b745cb7b		L1+L2	cc1e2e0965fe66be70d22edd9ba5fb77b745cb7b	Union path absent from public main. Proposed add of frozen union blob.
src/blocked-revise/proposer.ts	ADD	src/blocked-revise/proposer.ts	164263d1efaa1a4d266074a56e8225b274b2e884		L1+L2	164263d1efaa1a4d266074a56e8225b274b2e884	Union path absent from public main. Proposed add of frozen union blob.
src/blocked-revise/types.ts	ADD	src/blocked-revise/types.ts	c9dd9ba5aa42f310ccbf11794beeda440ca47589		L1+L2	c9dd9ba5aa42f310ccbf11794beeda440ca47589	Union path absent from public main. Proposed add of frozen union blob.
src/candidate-plan/adapter.ts	ADD	src/candidate-plan/adapter.ts	7643587c7e23887616747eb74035b9f16454bbd3		L1+L2	7643587c7e23887616747eb74035b9f16454bbd3	Union path absent from public main. Proposed add of frozen union blob.
src/candidate-plan/evidence.ts	ADD	src/candidate-plan/evidence.ts	5cc7a80a0a46874fc65e3e73d7cb3bc7e1a437c6		L1+L2	5cc7a80a0a46874fc65e3e73d7cb3bc7e1a437c6	Union path absent from public main. Proposed add of frozen union blob.
src/candidate-plan/gate.ts	ADD	src/candidate-plan/gate.ts	64904db759be33e76f04efb5a967faba9fb2d39f		L1+L2	64904db759be33e76f04efb5a967faba9fb2d39f	Union path absent from public main. Proposed add of frozen union blob.
src/candidate-plan/index.ts	ADD	src/candidate-plan/index.ts	b36a3077df2ae5a90dc279d6192c8b6ee8ff2b20		L1+L2	b36a3077df2ae5a90dc279d6192c8b6ee8ff2b20	Union path absent from public main. Proposed add of frozen union blob.
src/candidate-plan/model-adapter.ts	ADD	src/candidate-plan/model-adapter.ts	50766b828660a6f87909b9af8a79c66b7bea6083		L1+L2	50766b828660a6f87909b9af8a79c66b7bea6083	Union path absent from public main. Proposed add of frozen union blob.
src/candidate-plan/types.ts	ADD	src/candidate-plan/types.ts	f265540f8d9cef865ee02fcce50cd3481713eced		L1+L2	f265540f8d9cef865ee02fcce50cd3481713eced	Union path absent from public main. Proposed add of frozen union blob.
src/capabilities/eligibility/constants.ts	ADD	src/capabilities/eligibility/constants.ts	cdfc8b794aad80d22207428628c7de88a3fe6978		L1+L2	cdfc8b794aad80d22207428628c7de88a3fe6978	Union path absent from public main. Proposed add of frozen union blob.
src/capabilities/eligibility/evaluate.ts	ADD	src/capabilities/eligibility/evaluate.ts	031a65774482eeb666d639f5741893e04bd8634f		L1+L2	031a65774482eeb666d639f5741893e04bd8634f	Union path absent from public main. Proposed add of frozen union blob.
src/capabilities/eligibility/expire.ts	ADD	src/capabilities/eligibility/expire.ts	2710886a8a1ab9f0328a6181615c753ef96fbd10		L1+L2	2710886a8a1ab9f0328a6181615c753ef96fbd10	Union path absent from public main. Proposed add of frozen union blob.
src/capabilities/eligibility/index.ts	ADD	src/capabilities/eligibility/index.ts	defa8c4af2b5f4d2d28c97cdf7526993d13eece2		L1+L2	defa8c4af2b5f4d2d28c97cdf7526993d13eece2	Union path absent from public main. Proposed add of frozen union blob.
src/capabilities/eligibility/record-id.ts	ADD	src/capabilities/eligibility/record-id.ts	41b306f5bf7ad457847297fa890641ecc472700d		L1+L2	41b306f5bf7ad457847297fa890641ecc472700d	Union path absent from public main. Proposed add of frozen union blob.
src/capabilities/eligibility/types.ts	ADD	src/capabilities/eligibility/types.ts	53d4fd9265c04c28276726d834d66dd0f675ef7a		L1+L2	53d4fd9265c04c28276726d834d66dd0f675ef7a	Union path absent from public main. Proposed add of frozen union blob.
src/capabilities/index.ts	ADD	src/capabilities/index.ts	0abdefa4743105f0511f94514045187fc9d86b70		L1+L2	0abdefa4743105f0511f94514045187fc9d86b70	Union path absent from public main. Proposed add of frozen union blob.
src/capabilities/runtime-bindings.ts	ADD	src/capabilities/runtime-bindings.ts	80904083c873649b21b95edfd2231aac49e8be18		L1+L2	80904083c873649b21b95edfd2231aac49e8be18	Union path absent from public main. Proposed add of frozen union blob.
